Article number;Old article number ;Product name;MA-holder;Active substance;Pharmaceutical form;Strength;Package type;Multiple;Packages ;Packsize;Unit; PPP ; PRP ; Stepped price ; Reimbursed price ;Prescription group;Storage;Substitution group;Limited substitution;MA-number;ATC-code;Reimbursed;Date PPP;Marketing status package;MA-status
000005;;Risperdal;Janssen-Cilag AS;Risperidon;Tablett, filmdrasjert;0,5 mg;Blisterpakning;;;20;stk; 22.34 ; 64.70 ; 64.70 ; 64.70 ;C;Rom (15-25 grader);001498;Nei;1998-04328;N05AX08;Ja;01.01.2019;Markedsført;Markedsført
000054;;NeoRecormon;Roche Registration GmbH;Epoetin beta;Injeksjonsvæske, oppløsning i ferdigfylt sprøyte;4 000 IE;Ferdigfylt sprøyte;;6;0.3;ml; 1,654.52 ; 2,156.10 ; -   ; -   ;C;Kaldt (2-8 grader);;<ikke angitt>;EU/1/97/031/042;B03XA01;Ja;01.08.2010;Midlertidig utgått;Midlertidig utgått
000140;;Minirin;Ferring Legemidler AS;Desmopressinacetat;Tablett;0,2 mg;Boks av plast;;;15;stk; 141.40 ; 216.50 ; -   ; 216.50 ;C;Rom (15-25 grader);000340;Nei;0000-07424;H01BA02;Ja;01.12.2018;Midlertidig utgått;Midlertidig utgått
000145;;NeoRecormon;Roche Registration GmbH;Epoetin beta;Injeksjonsvæske, oppløsning i ferdigfylt sprøyte;6 000 IE;Ferdigfylt sprøyte;;6;0.3;ml; 2,485.59 ; 3,220.90 ; -   ; -   ;C;Kaldt (2-8 grader);;<ikke angitt>;EU/1/97/031/044;B03XA01;Ja;01.08.2010;Midlertidig utgått;Midlertidig utgått
000159;;Zyprexa Velotab;Eli Lilly Nederland BV;Olanzapin;Smeltetablett;5 mg;Blisterpakning;;;28;stk; 156.84 ; 236.20 ; 107.60 ; 107.60 ;C;Rom (15-25 grader);000810;Nei;EU/1/99/125/001;N05AH03;Ja;01.01.2019;Markedsført;Markedsført
000184;;Zyprexa Velotab;Eli Lilly Nederland BV;Olanzapin;Smeltetablett;15 mg;Blisterpakning;;;28;stk; 500.71 ; 674.70 ; 260.50 ; 260.50 ;C;Rom (15-25 grader);001539;Nei;EU/1/99/125/003;N05AH03;Ja;01.01.2019;Markedsført;Markedsført
000193;;Zyprexa Velotab;Eli Lilly Nederland BV;Olanzapin;Smeltetablett;20 mg;Blisterpakning;;;28;stk; 664.36 ; 883.30 ; 317.20 ; 317.20 ;C;Rom (15-25 grader);001540;Nei;EU/1/99/125/004;N05AH03;Ja;01.01.2019;Markedsført;Markedsført
000198;;Zyprexa Velotab;Eli Lilly Nederland BV;Olanzapin;Smeltetablett;10 mg;Blisterpakning;;;28;stk; 261.92 ; 370.20 ; 176.70 ; 176.70 ;C;Rom (15-25 grader);000811;Nei;EU/1/99/125/002;N05AH03;Ja;01.01.2019;Markedsført;Markedsført
000223;;Tractocile;Ferring Legemidler AS;Atosiban;Injeksjonsvæske, oppløsning;6,75 mg/0,9 ml;Hetteglass;;1;0.9;ml; 254.07 ; 361.80 ; -   ; -   ;C;Kaldt (2-8 grader);001960;Nei;EU/1/99/124/001;G02CX01;Nei;01.08.2016;Markedsført;Markedsført
000237;;Tractocile;Ferring Legemidler AS;Atosiban;Konsentrat til infusjonsvæske, oppløsning;37,5 mg/5 ml;Hetteglass;;1;5;ml; 776.94 ; 1,031.70 ; -   ; -   ;C;Kaldt (2-8 grader);001959;Nei;EU/1/99/124/002;G02CX01;Nei;07.12.2016;Markedsført;Markedsført
