Regnr;Artikelnaam;Maximumprijs;Eenheid
117142;ABACAVIR SANDOZ TABLET FILMOMHULD 300MG;3,674371;STUK
119924;ABACAVIR/LAMIVUDINE GLENMARK TAB FILMOMH 600/300MG;9,204939;STUK
116726;ABACAVIR/LAMIVUDINE MYLAN TABL FILMOMH 600/300MG;9,204939;STUK
116725;ABACAVIR/LAMIVUDINE SANDOZ TABL FILMOMH 600/300MG;9,204939;STUK
116893;ABACAVIR/LAMIVUDINE TEVA TABL FILMOMH 600/300MG;9,204939;STUK
EU/1/14/944/007;ABASAGLAR INJVLST 100E/ML PEN 3ML;2,906331;ML
EU/1/14/944/008;ABASAGLAR INJVLST 100E/ML PEN 3ML;2,906331;ML
EU/1/14/944/012;ABASAGLAR INJVLST 100E/ML PEN 3ML;2,906331;ML
20805;ABELCET INFVLST CONC 5MG/ML FLACON 20ML;5,618109;ML
EU/1/13/882/002;ABILIFY MAINTENA INJPDR MVA FLACON 400MG +SOLV 2ML;268,785659;STUK
EU/1/04/276/007;ABILIFY TABLET 10MG;1,466189;STUK
EU/1/04/276/012;ABILIFY TABLET 15MG;1,464847;STUK
EU/1/04/276/017;ABILIFY TABLET 30MG;2,775222;STUK
EU/1/07/428/001;ABRAXANE INFUSIEPOEDER FLACON 100MG;304,329862;STUK
108844;ABSTRAL TABLET SUBLINGUAAL 200MCG;7,047602;STUK
114443//108844;ABSTRAL TABLET SUBLINGUAAL 200MCG;7,047602;STUK
121009//108844;ABSTRAL TABLET SUBLINGUAAL 200MCG;7,047602;STUK
122077//108844;ABSTRAL TABLET SUBLINGUAAL 200MCG;7,047602;STUK
122157//108844;ABSTRAL TABLET SUBLINGUAAL 200MCG;7,047602;STUK
108845;ABSTRAL TABLET SUBLINGUAAL 300MCG;6,566248;STUK
122154//108845;ABSTRAL TABLET SUBLINGUAAL 300MCG;6,566248;STUK
123124//108845;ABSTRAL TABLET SUBLINGUAAL 300MCG;6,566248;STUK
